E_alpha,E_beta,E_theta,E_delta,R,Label
39299.96490478516,34878.25393676757,10918.617248535156,34878.25393676757,1.1267755827465995,1
174697.8759765625,112670.54080963132,33886.19422912598,112670.54080963132,1.550519547711525,1
158363.58070373535,87232.82814025879,30727.62489318848,87232.82814025879,1.8154126614937645,1
58891.53480529785,35250.782966613784,11750.221252441406,35250.782966613784,1.670644730390084,1
48065.4239654541,37860.15510559083,12285.470962524414,37860.15510559083,1.2695516917825902,1
140808.16507339478,80560.2669715881,21243.6318397522,80560.2669715881,1.747861202136468,1
209324.12147521973,108848.81019592288,32112.36000061035,108848.81019592288,1.9230722053685836,1
271182.5966835022,160329.16307449335,64840.85321426392,160329.16307449335,1.6914115403789844,1
383637.4878883362,235276.28183364868,82291.66269302368,235276.28183364868,1.6305829253098525,1
693088.7699127197,356302.4997711181,26437.997817993164,356302.4997711181,1.9452256730108453,1
702060.6994628906,335712.55207061773,22764.44435119629,335712.55207061773,2.0912554360350843,1
203335.82162857056,112680.73320388792,27480.18503189087,112680.73320388792,1.804530515972492,1
110406.93521499634,81618.84546279907,24185.71710586548,81618.84546279907,1.352713758556148,1
159141.77894592285,94958.90140533446,26916.50390625,94958.90140533446,1.6759016436660548,1
103697.83639907835,35326.54047012329,1432.0015907287598,35326.54047012329,2.9354087612054376,1
112854.00390625,46010.13660430908,3044.366836547852,46010.13660430908,2.452807408002363,1
172054.82721328735,113254.3683052063,45634.80615615845,113254.3683052063,1.5191893238909886,1
197434.4253540039,120786.90528869632,37766.45660400391,120786.90528869632,1.6345681254280844,1
304436.6836547852,149290.56167602542,20328.521728515625,149290.56167602542,2.039222575338965,1
403237.40243911743,216996.0141181946,64344.46573257446,216996.0141181946,1.8582710105425249,1
558114.0518188477,306633.2340240478,58182.716369628906,306633.2340240478,1.8201355557404368,1
416365.20624160767,229195.8928108216,33259.92822647095,229195.8928108216,1.816634674973324,1
106228.88803482056,46787.79840469362,10766.088962554932,46787.79840469362,2.270439979158412,1
255893.70727539065,102625.37002563472,13278.961181640623,102625.37002563472,2.493474149827388,1
322477.5791168213,166714.31064605713,44083.595275878906,166714.31064605713,1.9343125246245805,1
106866.41931533812,59524.35731887816,19981.92071914673,59524.35731887816,1.7953393220668246,1
104801.41639709473,35797.3575592041,3490.686416625977,35797.3575592041,2.9276299577075493,1
248780.78699111936,95659.7924232483,13222.754001617432,95659.7924232483,2.6006829064648684,1
272200.64401626587,129953.4440040588,32024.919986724854,129953.4440040588,2.094601232790447,1
113675.65393447876,51423.60925674439,8652.269840240479,51423.60925674439,2.2105732284742303,1
209324.12147521973,101078.62949371336,23507.118225097656,101078.62949371336,2.0709038351992963,1
450760.1261138916,212553.50112915045,45948.26698303223,212553.50112915045,2.120690196676664,1
781083.1069946289,319943.4280395508,12612.342834472656,319943.4280395508,2.441316303262441,1
447814.5241737366,191170.0367927552,21529.25729751587,191170.0367927552,2.342493267703904,1
31937.599182128903,9065.866470336914,3785.1333618164062,9065.866470336914,3.5228402366863905,1
211339.53332901,72553.45582962036,6373.465061187744,72553.45582962036,2.912880315795095,1
400451.66015625,179524.4216918945,31937.599182128903,179524.4216918945,2.2306249833992937,1
